CDFH3301061995000003,영업/정상,02-738-7861,서울특별시 종로구 내자동 1-3번지 ,03041,경복궁휘트니스
CDFH3301062001000004,영업/정상,02-733-3457,서울특별시 종로구 신문로2가 12-5번지 신문로빌딩4층 ,03184,바디발란스휘트니스
CDFH3301062002000001,영업/정상,,서울특별시 종로구 낙원동 150-1번지 파고다빌딩 ,03139,파고다
CDFH3301062002000002,영업/정상,02-740-4211,서울특별시 종로구 원남동 66-21번지 보령빌딩 ,03127,보령헬스피아
CDFH3301062007000001,영업/정상,02-2250-7141,서울특별시 종로구 숭인동 1388번지 동양파라빌 ,03116,제이휘트니스
CDFH3301062007000003,영업/정상,02-747-9686,서울특별시 종로구 명륜4가 188-4번지 동화빌딩 4층 ,03079,바디스타3
CDFH3301062004000002,영업/정상,02-741-9696,서울특별시 종로구 혜화동 185번지 중원빌딩 ,03084,바디스타휘트니스클럽
CDFH3301062004000005,영업/정상,744-3373,서울특별시 종로구 연건동 198-7번지 ,03127,제일메가스포
CDFH3301062005000001,영업/정상,02-741-3303,서울특별시 종로구 명륜2가 211번지 유니지오 빌딩 6층 ,03074,AB휘트니스클럽
CDFH3301062006000001,영업/정상,02-737-7797,서울특별시 종로구 관철동 155번지 종로1번가빌딩 지하2층 ,03189,인어스(INUS)
CDFH3301062006000003,영업/정상,02-733-0114,서울특별시 종로구 내수동 72번지 경희궁의아침 3단지 ,03174,주-스포짐
CDFH3301062019000005,영업/정상,02-6370-5154,서울특별시 종로구 공평동 5-1번지 ,03161,센트로폴리스 피트니스
CDFH3301062019000006,영업/정상,,서울특별시 종로구 관철동 7-5번지 ,03190,아지트
CDFH3301062019000002,영업/정상,,서울특별시 종로구 내수동 95번지 경희궁 파크팰리스 ,03174,한상현GYM
CDFH3301062019000003,영업/정상,,서울특별시 종로구 관철동 180번지 스타골드빌딩 ,03189,리썸
CDFH3301062010000002,영업/정상,02-742-0747,서울특별시 종로구 창신동 23-76번지 브라운스톤 지하1층 ,03095,스톤휘트니스
CDFH3301062016000006,영업/정상,02-765-4202,서울특별시 종로구 연건동 28-2번지 학생관5 2층 ,03080,필웨이
CDFH3301062016000007,영업/정상,,서울특별시 종로구 종로3가 119번지 지하1층 ,03192,원알엠피트니스
CDFH3301062017000001,영업/정상,02-395-0653,서울특별시 종로구 평창동 158-1번지 ,03009,PT.ROOT
CDFH3301062017000002,영업/정상,,서울특별시 종로구 내수동 95번지 경희궁 파크팰리스 ,03174,몬스터짐 광화문본점
CDFH3301062018000001,영업/정상,02-396-0653,서울특별시 종로구 구기동 95-16번지 ,03012,피티루트
CDFH3301062018000002,영업/정상,02-395-2234,서울특별시 종로구 평창동 158-1번지 글로리아타운 ,03009,로얄EMS.PT
CDFH3301062019000001,영업/정상,02-739-9618,서울특별시 종로구 신문로1가 116번지 에스타워 ,03185,스포애니 광화문역점
CDFH3301062016000001,영업/정상,070-7664-9682,서울특별시 종로구 내수동 95번지 107호,03174,바디밸런스
CDFH3301062016000003,영업/정상,070-7534-9682,서울특별시 종로구 사직동 9번지 ,03168,100일 PT 샵
CDFH3301062016000004,영업/정상,,서울특별시 종로구 삼청동 12번지 ,03049,디앤브이 피트니스
CDFH3301062018000006,영업/정상,02-722-3770,서울특별시 종로구 교남동 47번지 ,03180,더타임
CDFH3301062018000007,영업/정상,027204720,서울특별시 종로구 필운동 227번지 ,03041,종로테니스교실
CDFH3301062010000003,영업/정상,02-2278-0555,서울특별시 종로구 관수동 21-7번지 국일관드림팰리스 지상10층 ,03192,바디스타 짐
CDFH3301062010000004,영업/정상,,서울특별시 종로구 혜화동 109-4번지 지상3층 ,03076,바디팩토리
CDFH3301062011000001,영업/정상,,서울특별시 종로구 사직동 9번지 광화문풍림스페이스본 ,03168,스페이스본 휘트니스센터
CDFH3301062011000002,영업/정상,02-924-0251,서울특별시 종로구 숭인동 766번지 종로청계힐스테이트 상가 나동 B01호 ,03112,착한휘트니스(신설동점)
CDFH3301062014000002,영업/정상,739-3392,서울특별시 종로구 종로2가 19번지 ,03164,휴먼웰니스 피티 짐
CDFH3301062015000002,영업/정상,02-3414-2077,서울특별시 종로구 세종로 100번지 ,03154,(재)케이티그룹희망나눔재단 광화문-west
CDFH3301062015000003,영업/정상,02-725-2711,서울특별시 종로구 통의동 66번지 ,03044,711GYM
CDFH3301062015000004,영업/정상,733-7980,서울특별시 종로구 서린동 88번지 관정빌딩 지하2층 ,03188,스포짐
CDFH3301062015000006,영업/정상,,서울특별시 종로구 평창동 150-5번지 ,03011,워너짐
CDFH3301062018000003,영업/정상,,서울특별시 종로구 이화동 21번지 ,03100,필라테스.피티.시도하다
CDFH3301062018000004,영업/정상,027320020,서울특별시 종로구 견지동 110번지 종로1가 대성 스카이렉스 ,03150,(주)케이에스스포짐
CDFH3301062018000005,영업/정상,02-747-1622,서울특별시 종로구 창신동 23-816번지 창신이수아파트 ,03095,클래식바디짐
CDFH3301062010000001,영업/정상,02-391-3335,서울특별시 종로구 평창동 76번지 지하1층 ,03010,M2 GYM
CDFH3301062016000002,영업/정상,02-732-1020,서울특별시 종로구 종로1가 24번지 ,03157,다함PT
CDFH3301062020000005,영업/정상,02-747-8296,서울특별시 종로구 내자동 5번지 목천빌딩 ,03041,홍핏(HONG FIT)
CDFH3301062020000003,영업/정상,,서울특별시 종로구 소격동 48번지 ,03053,Wellness K(웰니스 케이)
